Id_delta	depart_date_time	arrive_date_time	depart_airport	arrive_airport	flight_number	flight_cost_coach	flight_cost_business	flight_cost_first	org_dest_code
17449	2022-12-31 12:40:00	2022-12-31 15:15:00	Minneapolis (MSP)	Denver (DEN)	WN1825	1020.51	2701.3	6669.91	
17450	2022-12-31 04:30:00	2022-12-31 05:55:00	Chicago (MDW)	Minneapolis (MSP)	WN1424	1120.9	3236.57	4373.03	MDW_MSP
17451	2022-12-31 01:05:00	2022-12-31 03:35:00	Windsor Locks (BDL)	Chicago (MDW)	WN1424	202.63	2972.62	7818.97	
17452	2022-12-30 23:10:00	2022-12-30 00:20:00	Baltimore (BWI)	Windsor Locks (BDL)	WN1424	1079.31	3360.44	6394.04	BWI_BDL
17453	2022-12-30 20:15:00	2022-12-30 22:25:00	Orlando (MCO)	Baltimore (BWI)	WN1424	514.14	2022.08	7554.89	
17454	2022-12-30 16:55:00	2022-12-30 19:25:00	San Antonio (SAT)	Orlando (MCO)	WN1424	271.41	1608.54	4388.51	
17455	2022-12-30 13:10:00	2022-12-30 16:10:00	Orlando (MCO)	San Antonio (SAT)	WN3104	1087.99	2743.91	3239.01	
17456	2022-12-27 20:00:00	2022-12-27 22:15:00	Houston (HOU)	Orlando (MCO)	WN2011	227.14	3611.95	7407.48	HOU_MCO
17457	2022-12-27 17:20:00	2022-12-27 19:50:00	Sarasota (SRQ)	Houston (HOU)	WN148	1182.5	3523.57	5933.42	
17458	2022-12-27 14:55:00	2022-12-27 16:30:00	Atlanta (ATL)	Sarasota (SRQ)	WN3248	170.39	1421.16	7695.05	ATL_SRQ
17459	2022-12-27 12:10:00	2022-12-27 14:00:00	Houston (HOU)	Atlanta (ATL)	WN3248	917.04	3447.32	7711.68	HOU_ATL
17460	2023-01-04 18:30:00	2023-01-04 20:15:00	Oklahoma City (OKC)	Denver (DEN)	WN2773	820.9	3237.34	7250.56	
17461	2023-01-04 16:05:00	2023-01-04 17:40:00	St. Louis (STL)	Oklahoma City (OKC)	WN2773	486.84	2002.71	4771.39	
17462	2023-01-04 13:55:00	2023-01-04 15:10:00	Nashville (BNA)	St. Louis (STL)	WN2773	570.38	2751.68	2769.1	
17463	2023-01-04 10:40:00	2023-01-04 13:05:00	Philadelphia (PHL)	Nashville (BNA)	WN2773	223.59	2070.2	4509.73	
17464	2023-01-04 01:25:00	2023-01-04 03:30:00	St. Louis (STL)	Philadelphia (PHL)	WN988	1184.11	1520.42	4139.46	
17465	2023-01-04 00:55:00	2023-01-04 02:40:00	New Orleans (MSY)	St. Louis (STL)	WN3694	341.99	2191.77	7288.84	
17466	2023-01-03 23:30:00	2023-01-03 00:30:00	Des Moines (DSM)	St. Louis (STL)	WN988	353.69	1127.49	4766.18	DSM_STL
17467	2023-01-03 22:30:00	2023-01-03 00:00:00	Burbank (BUR)	Phoenix (PHX)	WN322	159.83	2229.73	4838.5	BUR_PHX
17468	2023-01-03 21:20:00	2023-01-03 00:10:00	Phoenix (PHX)	New Orleans (MSY)	WN3694	322.34	3691.15	3878.77	
17469	2023-01-03 21:05:00	2023-01-03 22:45:00	Denver (DEN)	Des Moines (DSM)	WN988	563.68	4018.07	6656.66	DEN_DSM
17470	2023-01-03 20:40:00	2023-01-03 21:55:00	San Jose (SJC)	Burbank (BUR)	WN322	262.8	3418.24	3772.93	
17471	2023-01-03 18:15:00	2023-01-03 20:00:00	Boise (BOI)	San Jose (SJC)	WN322	842.74	3547.49	3939.34	BOI_SJC
17472	2023-01-03 18:15:00	2023-01-03 20:05:00	Tulsa (TUL)	Denver (DEN)	WN3801	969.07	2974.65	7062.72	
17473	2023-01-03 17:45:00	2023-01-03 21:05:00	St. Louis (STL)	Cancun (CUN)	WN1995	818.46	2717.4	7367.99	
17474	2023-01-03 16:05:00	2023-01-03 17:30:00	St. Louis (STL)	Tulsa (TUL)	WN3801	941.48	1910.87	4875.97	
17475	2023-01-03 15:35:00	2023-01-03 17:40:00	Denver (DEN)	Boise (BOI)	WN322	761.06	3967.11	5798.85	DEN_BOI
17476	2023-01-03 15:15:00	2023-01-03 16:50:00	Atlanta (ATL)	Richmond (RIC)	WN3093	515.51	3487.7	4724.02	ATL_RIC
17477	2023-01-03 14:35:00	2023-01-03 18:05:00	Las Vegas (LAS)	Nashville (BNA)	WN3012	850.2	2311.71	3280.07	LAS_BNA
17478	2023-01-03 12:55:00	2023-01-03 14:55:00	Tucson (TUS)	Denver (DEN)	WN322	665.62	2715.38	7208.32	
17479	2023-01-03 12:35:00	2023-01-03 14:00:00	Tucson (TUS)	Las Vegas (LAS)	WN3012	215.66	2653.37	6900.79	
17480	2023-01-03 12:30:00	2023-01-03 14:25:00	Houston (HOU)	Atlanta (ATL)	WN3093	615.11	3393.98	7969.03	HOU_ATL
17481	2023-01-03 12:25:00	2023-01-03 14:55:00	Chicago (MDW)	Dallas (DAL)	WN611	724.53	3249.33	5756.99	MDW_DAL
17482	2023-01-03 12:25:00	2023-01-03 15:15:00	Phoenix (PHX)	St. Louis (STL)	WN3801	1092.33	3933.77	3094.77	
17483	2023-01-03 04:55:00	2023-01-03 07:30:00	Austin (AUS)	Phoenix (PHX)	WN564	938.05	2293.43	6690.68	AUS_PHX
17484	2023-01-03 01:30:00	2023-01-03 04:05:00	Atlanta (ATL)	Austin (AUS)	WN564	1092.9	866.43	8168.58	ATL_AUS
17485	2023-01-02 23:35:00	2023-01-02 00:35:00	Greenville-Spartanburg (GSP)	Atlanta (ATL)	WN564	286.11	2313.12	5119.21	GSP_ATL
17486	2023-01-02 21:33:00	2023-01-02 22:41:00	Baltimore (BWI)	Greenville-Spartanburg (GSP)	WN9016	410.75	2962.58	4981.86	BWI_GSP
17487	2023-01-02 21:00:00	2023-01-02 22:35:00	Baltimore (BWI)	Greenville-Spartanburg (GSP)	WN564	949.86	2123.54	6536.16	BWI_GSP
17488	2023-01-02 17:05:00	2023-01-02 20:10:00	Austin (AUS)	Baltimore (BWI)	WN1192	354.56	1467.74	6280.89	AUS_BWI
17489	2023-01-02 13:50:00	2023-01-02 16:20:00	Nashville (BNA)	Austin (AUS)	WN4445	674.36	3482.59	2880.81	
17490	2023-01-02 10:35:00	2023-01-02 13:00:00	Fort Lauderdale (FLL)	Nashville (BNA)	WN4445	853.49	4044.13	8413.79	FLL_BNA
17491	2023-01-02 02:20:00	2023-01-02 04:55:00	Dallas (DAL)	Fort Lauderdale (FLL)	WN3520	705.63	836.14	8423.23	DAL_FLL
17492	2023-01-01 22:30:00	2023-01-01 01:35:00	Miami (MIA)	Dallas (DAL)	WN2178	1144.86	1718.71	4407.48	
17493	2023-01-01 19:00:00	2023-01-01 21:40:00	St. Louis (STL)	Miami (MIA)	WN453	560.63	3963.64	8140.91	
17494	2023-01-01 16:20:00	2023-01-01 18:15:00	Houston (HOU)	St. Louis (STL)	WN453	212.03	3246.22	4544.5	HOU_STL
17495	2023-01-01 13:00:00	2023-01-01 15:25:00	Phoenix (PHX)	Houston (HOU)	WN453	1005.06	1165.9	8390.16	
17496	2022-12-31 23:20:00	2022-12-31 04:30:00	Fort Lauderdale (FLL)	Phoenix (PHX)	WN1352	302.83	1402.78	8093.43	FLL_PHX
17497	2022-12-31 19:35:00	2022-12-31 21:25:00	Cancun (CUN)	Fort Lauderdale (FLL)	WN521	768.26	1771.78	3460.59	CUN_FLL
17498	2022-12-31 14:40:00	2022-12-31 18:35:00	Baltimore (BWI)	Cancun (CUN)	WN1605	550.9	2097.66	8449.01	BWI_CUN
17499	2022-12-31 11:00:00	2022-12-31 13:35:00	Fort Lauderdale (FLL)	Baltimore (BWI)	WN256	463.28	2929.74	3408.54	FLL_BWI
17500	2022-12-31 03:50:00	2022-12-31 04:55:00	Orlando (MCO)	Fort Lauderdale (FLL)	WN758	847.29	2821.26	2794.51	
17501	2022-12-31 00:30:00	2022-12-31 03:00:00	San Antonio (SAT)	Orlando (MCO)	WN758	1028.43	2320.24	6469.25	
17502	2022-12-30 21:10:00	2022-12-30 23:40:00	Las Vegas (LAS)	San Antonio (SAT)	WN758	1170.84	2811.23	5855.67	LAS_SAT
17503	2022-12-30 16:20:00	2022-12-30 20:20:00	Milwaukee (MKE)	Las Vegas (LAS)	WN2235	1148.67	1987.26	2622.92	
17504	2022-12-30 12:45:00	2022-12-30 15:35:00	Orlando (MCO)	Milwaukee (MKE)	WN2235	398.43	3560.45	4217.73	
17505	2022-12-30 02:20:00	2022-12-30 04:45:00	Baltimore (BWI)	Orlando (MCO)	WN1581	1152.47	1159.23	7847.86	BWI_MCO
17506	2022-12-29 21:10:00	2022-12-29 22:45:00	Grand Rapids (GRR)	Baltimore (BWI)	WN3262	631.86	755.53	3264.26	GRR_BWI
17507	2022-12-29 19:35:00	2022-12-29 20:25:00	Chicago (MDW)	Grand Rapids (GRR)	WN3262	261.78	3802.03	2997.19	MDW_GRR
17508	2022-12-29 14:00:00	2022-12-29 16:10:00	Washington (DCA)	Chicago (MDW)	WN204	458.4	3634.26	6561.06	
17509	2022-12-28 23:10:00	2022-12-28 01:50:00	Dallas (DAL)	Washington (DCA)	WN1254	979.11	2858.06	6178.26	DAL_DCA
17510	2022-12-28 22:55:00	2022-12-28 00:20:00	Detroit (DTW)	Baltimore (BWI)	WN1753	496.58	2300.58	2912.24	DTW_BWI
17511	2022-12-28 19:45:00	2022-12-28 22:15:00	Chicago (ORD)	Dallas (DAL)	WN2126	948.12	2131.72	6527.72	ORD_DAL
17512	2022-12-28 15:55:00	2022-12-28 19:00:00	Orlando (MCO)	Chicago (ORD)	WN2126	666.58	3090.15	5519.02	
17513	2022-12-28 03:00:00	2022-12-28 05:05:00	Chicago (MDW)	Boston (BOS)	WN1258	1006.9	4013.53	8390.2	MDW_BOS
17514	2022-12-28 02:10:00	2022-12-28 04:40:00	Chicago (MDW)	Orlando (MCO)	WN3087	178.84	3653.79	7064.91	MDW_MCO
17515	2022-12-27 23:35:00	2022-12-27 01:05:00	Pittsburgh (PIT)	Chicago (MDW)	WN1294	642.64	3791.12	6965.67	
17516	2022-12-26 03:05:00	2022-12-26 05:30:00	Denver (DEN)	Houston (IAH)	WN962	438.32	1509.71	4258.54	DEN_IAH
17517	2023-01-04 01:20:00	2023-01-04 03:15:00	Chicago (MDW)	Windsor Locks (BDL)	WN1878	249.35	1272.56	5785.68	MDW_BDL
17518	2023-01-03 22:45:00	2023-01-03 00:25:00	Memphis (MEM)	Chicago (MDW)	WN1878	1129.88	3141.58	3795.9	
17519	2023-01-03 19:50:00	2023-01-03 21:55:00	Denver (DEN)	Memphis (MEM)	WN1878	943.73	2479.25	7494.65	DEN_MEM
17520	2023-01-03 17:30:00	2023-01-03 18:55:00	Albuquerque (ABQ)	Denver (DEN)	WN1152	401.25	3177.46	6743.8	ABQ_DEN
17521	2023-01-03 14:30:00	2023-01-03 16:25:00	Dallas (DAL)	Albuquerque (ABQ)	WN1388	538.4	3452.43	5736.97	DAL_ABQ
17522	2023-01-03 11:00:00	2023-01-03 13:45:00	Tampa (TPA)	Dallas (DAL)	WN1388	693.7	1979.68	7922.04	
17523	2023-01-03 00:10:00	2023-01-03 03:25:00	Denver (DEN)	Tampa (TPA)	WN2435	1103.89	3438.99	5764.93	DEN_TPA
17524	2023-01-02 20:40:00	2023-01-02 00:40:00	Washington (IAD)	Denver (DEN)	WN824	736.06	4094.45	2994.97	
17525	2023-01-02 00:35:00	2023-01-02 03:50:00	Denver (DEN)	Washington (IAD)	WN1573	972.6	2664.04	3562.65	DEN_IAD
17526	2023-01-01 22:20:00	2023-01-01 23:45:00	Albuquerque (ABQ)	Denver (DEN)	WN1573	465.33	3294.86	4678.09	ABQ_DEN
17527	2023-01-01 19:30:00	2023-01-01 21:15:00	San Diego (SAN)	Albuquerque (ABQ)	WN2808	945.78	1367.14	8496.88	
17528	2023-01-01 14:00:00	2023-01-01 18:35:00	Nashville (BNA)	San Diego (SAN)	WN2650	599.08	2178.34	8051.57	
17529	2023-01-01 11:00:00	2023-01-01 13:05:00	Sarasota (SRQ)	Nashville (BNA)	WN2650	151.22	1481.37	3929.66	
17530	2023-01-01 01:30:00	2023-01-01 04:05:00	Chicago (MDW)	Sarasota (SRQ)	WN1543	1045.67	1827.37	3319.44	MDW_SRQ
17531	2022-12-31 21:15:00	2022-12-31 00:00:00	Tampa (TPA)	Chicago (MDW)	WN2790	759.59	1760.73	6293.9	
17532	2022-12-31 17:45:00	2022-12-31 21:35:00	Phoenix (PHX)	Tampa (TPA)	WN445	1148.96	1549.15	4217.95	
17533	2022-12-31 13:00:00	2022-12-31 16:55:00	Chicago (MDW)	Phoenix (PHX)	WN815	808.25	1526.74	5423.21	MDW_PHX
17534	2022-12-31 11:00:00	2022-12-31 12:15:00	St. Louis (STL)	Chicago (MDW)	WN166	890.13	1189.81	6900.43	
17535	2022-12-31 04:44:00	2022-12-31 07:20:00	Phoenix (PHX)	St. Louis (STL)	WN9011	806.14	980.11	6609.99	
17536	2022-12-31 02:50:00	2022-12-31 05:40:00	Phoenix (PHX)	St. Louis (STL)	WN2465	423.69	2014.7	6039.42	
17537	2022-12-30 22:35:00	2022-12-30 23:52:00	Salt Lake City (SLC)	Phoenix (PHX)	WN8504	1127.42	3161.98	3044.79	
17538	2022-12-30 00:00:00	2022-12-30 01:25:00	Las Vegas (LAS)	Salt Lake City (SLC)	WN585	151.22	3301.11	4870.43	LAS_SLC
17539	2022-12-29 03:00:00	2022-12-29 04:45:00	Chicago (MDW)	Raleigh-Durham (RDU)	WN1133	636.71	3610.75	6003.96	MDW_RDU
17540	2022-12-29 02:45:00	2022-12-29 04:00:00	San Diego (SAN)	Las Vegas (LAS)	WN248	969.41	1101.27	5236.24	
17541	2022-12-28 22:40:00	2022-12-28 01:55:00	Dallas (DAL)	San Diego (SAN)	WN248	280.63	3603.77	3344.3	DAL_SAN
17542	2022-12-28 18:00:00	2022-12-28 20:55:00	Long Beach (LGB)	Dallas (DAL)	WN3477	258.8	1516.43	5678.74	
17543	2022-12-28 16:35:00	2022-12-28 17:50:00	Amarillo (AMA)	Dallas (DAL)	WN2925	1103.34	3806.5	7635.43	AMA_DAL
17544	2022-12-28 14:30:00	2022-12-28 15:45:00	Dallas (DAL)	Amarillo (AMA)	WN165	1048.97	3111.19	7351.55	DAL_AMA
17545	2022-12-27 14:50:00	2022-12-27 16:45:00	Atlanta (ATL)	Miami (MIA)	WN1205	651.32	2344.99	8168.37	ATL_MIA
17546	2022-12-27 11:00:00	2022-12-27 13:25:00	New Orleans (MSY)	Chicago (MDW)	WN653	264.29	3642.38	4268.63	
17547	2023-01-04 20:00:00	2023-01-04 23:50:00	Portland (PDX)	Chicago (MDW)	WN1071	515.24	779.91	5178.08	
17548	2023-01-04 14:40:00	2023-01-04 19:05:00	Chicago (MDW)	Portland (PDX)	WN2154	362.5	786.25	6143.33	MDW_PDX
17549	2023-01-04 11:25:00	2023-01-04 13:35:00	Charlotte (CLT)	Chicago (MDW)	WN1297	440.29	2040.48	3031.58	CLT_MDW
17550	2023-01-04 01:35:00	2023-01-04 03:20:00	Chicago (MDW)	Charlotte (CLT)	WN210	708.03	3272.43	7776.88	MDW_CLT
17551	2023-01-03 21:15:00	2023-01-03 00:30:00	Phoenix (PHX)	Chicago (MDW)	WN980	874.89	1688.97	2733	
17552	2023-01-03 16:40:00	2023-01-03 20:30:00	Chicago (MDW)	Phoenix (PHX)	WN1715	775.17	1827.1	5847.74	MDW_PHX
17553	2023-01-03 13:35:00	2023-01-03 15:45:00	Dallas (DAL)	Chicago (MDW)	WN2831	931.86	3605.13	7245.54	DAL_MDW
17554	2023-01-03 11:15:00	2023-01-03 12:30:00	Little Rock (LIT)	Dallas (DAL)	WN122	452.28	823.39	7924.55	
17555	2023-01-03 04:40:00	2023-01-03 05:50:00	St. Louis (STL)	Little Rock (LIT)	WN3810	1074.09	3966.63	6186.68	
17556	2023-01-03 00:55:00	2023-01-03 03:20:00	Sarasota (SRQ)	St. Louis (STL)	WN1404	802.64	2007.37	3668.32	
17557	2023-01-02 22:20:00	2023-01-02 00:10:00	Nashville (BNA)	Sarasota (SRQ)	WN2555	890.23	2603.97	5308.52	
17558	2023-01-02 17:20:00	2023-01-02 21:35:00	San Jose (SJC)	Nashville (BNA)	WN2555	930.2	2651.83	2699.45	
17559	2023-01-02 15:00:00	2023-01-02 16:30:00	San Diego (SAN)	San Jose (SJC)	WN2555	720.89	1803.22	3393.9	
17560	2023-01-02 03:30:00	2023-01-02 06:35:00	Austin (AUS)	San Diego (SAN)	WN1119	517.38	2425.28	2913.8	AUS_SAN
17561	2023-01-01 22:50:00	2023-01-01 02:35:00	Washington (DCA)	Austin (AUS)	WN1119	422.18	3262.98	8447.95	
17562	2023-01-01 19:00:00	2023-01-01 22:00:00	Austin (AUS)	Washington (DCA)	WN569	554.83	4049.17	6994.2	AUS_DCA
17563	2023-01-01 15:10:00	2023-01-01 18:00:00	San Diego (SAN)	Austin (AUS)	WN569	240.86	1809.98	2955.47	
17564	2023-01-01 03:20:00	2023-01-01 06:25:00	Austin (AUS)	San Diego (SAN)	WN1119	161.11	1295.45	7953.06	AUS_SAN
17565	2022-12-31 22:35:00	2022-12-31 02:25:00	Washington (DCA)	Austin (AUS)	WN1119	1108.81	3908.75	5199.14	
17566	2022-12-31 18:50:00	2022-12-31 21:50:00	Austin (AUS)	Washington (DCA)	WN569	400.49	2794.84	2701.96	AUS_DCA
17567	2022-12-31 15:15:00	2022-12-31 18:05:00	San Diego (SAN)	Austin (AUS)	WN569	1004	1047.87	2557.2	
17568	2022-12-31 03:30:00	2022-12-31 06:35:00	Austin (AUS)	San Diego (SAN)	WN1119	688.1	716.95	5807.84	AUS_SAN
17569	2022-12-30 23:00:00	2022-12-30 02:45:00	Washington (DCA)	Austin (AUS)	WN1119	249.29	722.45	5301.95	
17570	2022-12-30 18:40:00	2022-12-30 21:40:00	Austin (AUS)	Washington (DCA)	WN569	554.84	1866.38	2722.8	AUS_DCA
17571	2022-12-30 15:05:00	2022-12-30 17:50:00	San Diego (SAN)	Austin (AUS)	WN569	839.34	2045.59	3305.78	
17572	2022-12-30 00:35:00	2022-12-30 02:05:00	Oakland (OAK)	San Diego (SAN)	WN2219	404.89	3671.42	2848.19	
17573	2022-12-29 19:45:00	2022-12-29 21:30:00	Portland (PDX)	Oakland (OAK)	WN2609	855.44	790.51	6089.13	
17574	2022-12-29 16:40:00	2022-12-29 19:00:00	Las Vegas (LAS)	Portland (PDX)	WN2761	890.32	2119.88	6583.07	LAS_PDX
17575	2022-12-29 11:10:00	2022-12-29 15:15:00	Chicago (MDW)	Las Vegas (LAS)	WN1369	860.12	1816.76	4334.35	MDW_LAS
17576	2022-12-29 04:50:00	2022-12-29 06:20:00	Oakland (OAK)	Eugene (EUG)	WN2426	709.05	3829.57	6055.38	
17577	2022-12-29 02:45:00	2022-12-29 04:05:00	Ontario (ONT)	Oakland (OAK)	WN2426	175.37	831.93	4576.75	
17578	2022-12-29 00:50:00	2022-12-29 02:55:00	Dallas (DAL)	Chicago (MDW)	WN3034	784.12	3071.29	7619.25	DAL_MDW
17579	2022-12-28 21:15:00	2022-12-28 00:00:00	Columbus (CMH)	Dallas (DAL)	WN3571	464.48	1087.78	8191.81	CMH_DAL
17580	2022-12-28 18:15:00	2022-12-28 19:35:00	Baltimore (BWI)	Columbus (CMH)	WN3285	154.28	1006.02	3998.5	BWI_CMH
17581	2022-12-28 15:15:00	2022-12-28 17:25:00	Orlando (MCO)	Baltimore (BWI)	WN3517	791.22	1325.42	5512.77	
17582	2022-12-28 01:25:00	2022-12-28 03:59:00	Austin (AUS)	Orlando (MCO)	WN8652	747.75	857.68	8359.92	AUS_MCO
17583	2022-12-27 22:50:00	2022-12-27 01:10:00	Austin (AUS)	Orlando (MCO)	WN3656	1160.82	2504.83	6086.02	AUS_MCO
17584	2022-12-27 19:00:00	2022-12-27 21:55:00	Los Angeles (LAX)	Austin (AUS)	WN3656	617.71	1449.53	4434.68	
17585	2022-12-26 21:55:00	2022-12-26 23:20:00	Los Angeles (LAX)	Sacramento (SMF)	WN2403	845.04	1401.95	2655.74	
17586	2023-01-05 01:50:00	2023-01-05 04:05:00	Orlando (MCO)	Pittsburgh (PIT)	WN3424	349.04	3642.79	5746.83	
17587	2023-01-04 21:40:00	2023-01-04 01:05:00	Denver (DEN)	Orlando (MCO)	WN3424	967.65	1143.24	5262.52	DEN_MCO
17588	2023-01-04 18:45:00	2023-01-04 20:40:00	Tucson (TUS)	Denver (DEN)	WN3424	910.62	1818.6	3842.57	
17589	2023-01-04 16:00:00	2023-01-04 18:00:00	Denver (DEN)	Tucson (TUS)	WN1038	730.12	838.04	7497.62	DEN_TUS
17590	2023-01-04 12:00:00	2023-01-04 14:50:00	Chicago (ORD)	Denver (DEN)	WN645	1147.29	855.97	6545.95	ORD_DEN
17591	2023-01-03 20:05:00	2023-01-03 23:45:00	St. Louis (STL)	Las Vegas (LAS)	WN3844	521.67	1671.26	8408.21	
17592	2023-01-03 17:25:00	2023-01-03 19:10:00	Atlanta (ATL)	St. Louis (STL)	WN3844	361.63	2389.17	2729.23	ATL_STL
17593	2023-01-03 14:35:00	2023-01-03 16:35:00	Dallas (DAL)	Atlanta (ATL)	WN3497	297.82	1197.07	7957.25	DAL_ATL
17594	2023-01-03 04:00:00	2023-01-03 05:45:00	Dallas (DAL)	El Paso (ELP)	WN818	918.64	2403.8	5998.69	DAL_ELP
17595	2023-01-03 00:25:00	2023-01-03 03:15:00	Orlando (MCO)	Dallas (DAL)	WN818	709.47	3751.06	4938.02	
17596	2023-01-02 20:20:00	2023-01-02 22:40:00	Pittsburgh (PIT)	Orlando (MCO)	WN2552	756.84	3044.33	3966.87	
17597	2023-01-02 17:55:00	2023-01-02 19:30:00	Atlanta (ATL)	Pittsburgh (PIT)	WN1980	1063.69	1628.64	5224.82	ATL_PIT
17598	2023-01-02 15:00:00	2023-01-02 17:05:00	Dallas (DAL)	Atlanta (ATL)	WN1980	942.49	3827.18	3217.15	DAL_ATL
17599	2023-01-02 11:20:00	2023-01-02 13:50:00	Chicago (MDW)	Dallas (DAL)	WN2077	455.66	3454.09	6230.28	MDW_DAL
17600	2023-01-02 03:35:00	2023-01-02 04:55:00	Kansas City (MCI)	Chicago (MDW)	WN3257	588.36	3544.69	6746.47	MCI_MDW
17601	2023-01-02 00:35:00	2023-01-02 02:50:00	Atlanta (ATL)	Kansas City (MCI)	WN3257	686.45	2715.48	4782.51	ATL_MCI
17602	2023-01-01 21:30:00	2023-01-01 23:40:00	Philadelphia (PHL)	Atlanta (ATL)	WN1849	160.77	3907.6	4636.12	
17603	2023-01-01 18:45:00	2023-01-01 20:35:00	Chicago (MDW)	Philadelphia (PHL)	WN513	653.41	3092.01	6021.36	MDW_PHL
17604	2023-01-01 15:00:00	2023-01-01 17:55:00	Orlando (MCO)	Chicago (MDW)	WN513	530.83	760.5	7463.04	
17605	2023-01-01 11:35:00	2023-01-01 14:10:00	Baltimore (BWI)	Orlando (MCO)	WN3536	898.8	951.4	4570.08	BWI_MCO
17606	2023-01-01 00:45:00	2023-01-01 05:10:00	Las Vegas (LAS)	Baltimore (BWI)	WN2652	1118.51	2597.4	5565.34	LAS_BWI
17607	2022-12-31 20:05:00	2022-12-31 22:50:00	Oklahoma City (OKC)	Las Vegas (LAS)	WN3231	1145.22	1381.09	6738.94	
17608	2022-12-31 17:35:00	2022-12-31 19:05:00	Denver (DEN)	Oklahoma City (OKC)	WN1159	525.57	1943.12	8218.82	DEN_OKC
17609	2022-12-31 13:35:00	2022-12-31 16:00:00	Sacramento (SMF)	Denver (DEN)	WN2245	837.8	2280.53	7903.2	
17610	2022-12-30 15:00:00	2022-12-30 16:40:00	San Diego (SAN)	Sacramento (SMF)	WN2386	703.67	1729.43	7887.53	
17611	2022-12-30 04:05:00	2022-12-30 07:20:00	Dallas (DAL)	San Diego (SAN)	WN3825	921.92	1790.43	5740.1	DAL_SAN
17612	2022-12-30 01:05:00	2022-12-30 02:20:00	Lubbock (LBB)	Dallas (DAL)	WN1872	975.21	3554.26	2622.77	
17613	2022-12-29 22:15:00	2022-12-29 00:20:00	Las Vegas (LAS)	Lubbock (LBB)	WN1872	401.25	2762.08	4120.21	LAS_LBB
17614	2022-12-29 18:00:00	2022-12-29 21:25:00	Houston (IAH)	Las Vegas (LAS)	WN362	626.87	3042.86	3785.41	IAH_LAS
17615	2022-12-29 14:35:00	2022-12-29 17:15:00	Orlando (MCO)	Houston (IAH)	WN362	828.64	1745.02	7799.88	
17616	2022-12-29 11:10:00	2022-12-29 13:40:00	Chicago (MDW)	Orlando (MCO)	WN893	746.03	3430.09	4901.44	MDW_MCO
17617	2022-12-29 02:55:00	2022-12-29 06:45:00	Los Angeles (LAX)	Chicago (MDW)	WN973	1195.93	3313.98	3724.04	
17618	2022-12-28 21:50:00	2022-12-28 02:05:00	St. Louis (STL)	Los Angeles (LAX)	WN111	644.92	4186.37	5158.23	
17619	2022-12-28 19:15:00	2022-12-28 20:55:00	Atlanta (ATL)	St. Louis (STL)	WN111	783.84	1258.87	6030.2	ATL_STL
17620	2022-12-28 15:55:00	2022-12-28 17:20:00	New Orleans (MSY)	Atlanta (ATL)	WN1570	282.7	3849.42	7918.38	
17621	2022-12-28 01:20:00	2022-12-28 04:10:00	Baltimore (BWI)	New Orleans (MSY)	WN1936	1184.33	2373.79	2966.19	BWI_MSY
17622	2022-12-27 16:35:00	2022-12-27 19:50:00	Denver (DEN)	Baltimore (BWI)	WN671	406.57	1928.14	4165.93	DEN_BWI
17623	2022-12-27 13:00:00	2022-12-27 15:30:00	Oakland (OAK)	Denver (DEN)	WN827	400.92	928.38	3324.14	
17624	2023-01-04 23:40:00	2023-01-04 02:05:00	Miami (MIA)	Nashville (BNA)	WN749	944.94	3690.12	8136.69	
17625	2023-01-04 20:15:00	2023-01-04 22:55:00	Austin (AUS)	Miami (MIA)	WN2692	475.63	2689.68	7361.99	AUS_MIA
17626	2023-01-04 16:05:00	2023-01-04 19:25:00	San Jose (SJC)	Austin (AUS)	WN2692	771.65	1156.26	7156.77	
17627	2023-01-04 13:30:00	2023-01-04 15:15:00	Portland (PDX)	San Jose (SJC)	WN2692	745.54	1756.56	5435.22	
17628	2023-01-04 05:00:00	2023-01-04 07:20:00	Las Vegas (LAS)	Portland (PDX)	WN492	438.66	4085.96	2568.35	LAS_PDX
17629	2023-01-04 01:55:00	2023-01-04 04:00:00	Colorado Springs (COS)	Las Vegas (LAS)	WN492	1081.24	1872.66	3352.16	COS_LAS
17630	2023-01-03 23:10:00	2023-01-03 01:10:00	Dallas (DAL)	Colorado Springs (COS)	WN492	636.49	3164.64	7169.16	DAL_COS
17631	2023-01-03 20:25:00	2023-01-03 22:15:00	Colorado Springs (COS)	Dallas (DAL)	WN150	561.58	1435.32	5975.49	COS_DAL
17632	2023-01-03 17:45:00	2023-01-03 19:40:00	Dallas (DAL)	Colorado Springs (COS)	WN3037	1058.8	1971.25	6400.46	DAL_COS
17633	2023-01-03 14:25:00	2023-01-03 16:50:00	Chicago (MDW)	Dallas (DAL)	WN3037	720.77	1464.66	7422.92	MDW_DAL
17634	2023-01-03 10:20:00	2023-01-03 13:35:00	Fort Lauderdale (FLL)	Chicago (MDW)	WN3037	1017.14	1064.11	6997.24	FLL_MDW
17635	2023-01-03 02:10:00	2023-01-03 04:40:00	Dallas (DAL)	Fort Lauderdale (FLL)	WN3520	1105.48	4143.77	6550.94	DAL_FLL
17636	2023-01-02 22:20:00	2023-01-02 01:10:00	Charlotte (CLT)	Dallas (DAL)	WN1265	513.44	2174.38	4028.04	CLT_DAL
17637	2023-01-02 19:35:00	2023-01-02 21:25:00	Chicago (MDW)	Charlotte (CLT)	WN1265	1055.94	1463.93	7284.12	MDW_CLT
